work_id,description,state,state_code,district,constituency,mp_name,agency,category,estimated_cost,sanctioned_amount,expenditure,utilization,cost_deviation,expected_days,actual_days,delayed,delay_days,sanction_date,expected_completion,actual_completion,status,duplicate_candidate,signals,primary_signal,risk_score,risk_tier
W-10561,"Construction of bus shelter and waiting shed, Ward 11",Madhya Pradesh,IN-MP,Jabalpur,Jabalpur (PC-13),Hon'ble MP — Jabalpur PC,Arth Development Board,Public Amenities,519000,522000,293000,56.1,-28,230,230,False,0,2025-04-27T00:00:00.000Z,2025-12-13T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,22,LOW
W-10562,"Development of multipurpose community centre, Ward 11",Jharkhand,IN-JH,Jamshedpur,Jamshedpur (PC-13),Hon'ble MP — Jamshedpur PC,Samruddhi Infra Board,Community Infrastructure,1632000,1975000,1690000,85.6,4,343,343,False,0,2025-07-23T00:00:00.000Z,2026-07-01T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10563,"Installation of community RO water plant, Sector 7",Assam,IN-AS,Dibrugarh,Dibrugarh (PC-11),Hon'ble MP — Dibrugarh PC,Prerna Civil Works Unit,Water & Sanitation,1103000,1124000,1019000,90.7,-32,358,358,False,0,2025-11-11T00:00:00.000Z,2026-11-04T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,10,LOW
W-10564,"Provision of mobility van for local body, Gram Panchayat",Karnataka,IN-KA,Belagavi,Belagavi (PC-5),Hon'ble MP — Belagavi PC,Sankalp Rural Development Corp,Other,518000,631000,400000,63.4,-1,256,256,False,0,2025-05-16T00:00:00.000Z,2026-01-27T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,16,LOW
W-10565,"Construction of crematorium shed and pathway, Ward 4",Bihar,IN-BR,Patna,Patna (PC-15),Hon'ble MP — Patna PC,Utkarsh Rural Agency,Other,487000,482000,218000,45.2,-25,240,240,False,0,2025-07-07T00:00:00.000Z,2026-03-04T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,11,LOW
W-10566,"Boundary wall construction for school campus, Zone 3",Uttar Pradesh,IN-UP,Prayagraj,Prayagraj (PC-40),Hon'ble MP — Prayagraj PC,Chetna Public Amenities Unit,Education,571000,615000,225000,36.6,-31,348,348,False,0,2025-05-05T00:00:00.000Z,2026-04-18T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,22,LOW
W-10567,"Development of public park and pathways, Ward 11",Uttarakhand,IN-UT,Haridwar,Haridwar (PC-1),Hon'ble MP — Haridwar PC,Utkarsh Rural Agency,Public Amenities,534000,555000,250000,45,-23,289,289,False,0,2025-07-10T00:00:00.000Z,2026-04-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,17,LOW
W-10568,"Boundary wall construction for school campus, Sector 7",Maharashtra,IN-MH,Solapur,Solapur (PC-33),Hon'ble MP — Solapur PC,Prerna Civil Works Unit,Education,625000,762000,546000,71.7,-14,217,217,False,0,2025-08-19T00:00:00.000Z,2026-03-24T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,7,LOW
W-10569,"Provision of mobility van for local body, Zone 3",Telangana,IN-TG,Hyderabad,Hyderabad (PC-8),Hon'ble MP — Hyderabad PC,Prerna Civil Works Unit,Other,679000,694000,522000,75.2,8,323,323,False,0,2026-01-20T00:00:00.000Z,2026-12-09T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,37,MEDIUM
W-10570,"Development of multipurpose community centre, Phase II",Madhya Pradesh,IN-MP,Bhopal,Bhopal (PC-13),Hon'ble MP — Bhopal PC,Sujal Water Works Cell,Community Infrastructure,1232000,1486000,802000,54,-22,292,292,False,0,2025-04-22T00:00:00.000Z,2026-02-08T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,12,LOW
W-10571,"Construction of bus shelter and waiting shed, Block B",Maharashtra,IN-MH,Solapur,Solapur (PC-8),Hon'ble MP — Solapur PC,Aadhar Works Agency,Public Amenities,382000,426000,376000,88.3,-41,259,259,False,0,2025-04-10T00:00:00.000Z,2025-12-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,28,LOW
W-10572,"Boundary wall construction for school campus, Ward 11",Haryana,IN-HR,Faridabad,Faridabad (PC-21),Hon'ble MP — Faridabad PC,Unnati Infra Solutions,Education,567000,590000,250000,42.4,-34,231,231,False,0,2025-06-08T00:00:00.000Z,2026-01-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,22,LOW
W-10573,"Drainage and sanitation improvement works, Sector 7",Tamil Nadu,IN-TN,Tiruchirappalli,Tiruchirappalli (PC-10),Hon'ble MP — Tiruchirappalli PC,Aadhar Works Agency,Water & Sanitation,840000,954000,729000,76.4,-42,303,303,False,0,2025-12-03T00:00:00.000Z,2026-10-02T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,8,LOW
W-10574,"Construction of indoor sports hall, New Colony",Uttar Pradesh,IN-UP,Lucknow,Lucknow (PC-34),Hon'ble MP — Lucknow PC,Vikas Engineering Corp,Sports,477000,570000,238000,41.8,-42,215,215,False,0,2025-07-03T00:00:00.000Z,2026-02-03T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,27,LOW
W-10575,"Boundary wall construction for school campus, Block B",Punjab,IN-PB,Amritsar,Amritsar (PC-6),Hon'ble MP — Amritsar PC,Kaushal Construction Division,Education,692000,761000,421000,55.3,-14,297,297,False,0,2025-11-23T00:00:00.000Z,2026-09-16T00:00:00.000Z,,In Progress,False,Missing/invalid data,Missing/invalid data,40,MEDIUM
W-10576,"Development of maternal care wing at CHC, Phase II",Odisha,IN-OR,Cuttack,Cuttack (PC-13),Hon'ble MP — Cuttack PC,Unnati Infra Solutions,Health,1119000,1275000,460000,36.1,-12,279,279,False,0,2026-01-12T00:00:00.000Z,2026-10-18T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,26,LOW
W-10577,"Upgradation of PHC ward and medical equipment, Phase II",Uttar Pradesh,IN-UP,Prayagraj,Prayagraj (PC-29),Hon'ble MP — Prayagraj PC,Kaushal Construction Division,Health,1382000,1415000,538000,38,-2,266,266,False,0,2025-12-03T00:00:00.000Z,2026-08-26T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,27,LOW
W-10578,"Construction of public toilet block, New Colony",Uttar Pradesh,IN-UP,Kanpur Nagar,Kanpur Nagar (PC-9),Hon'ble MP — Kanpur Nagar PC,Arth Development Board,Public Amenities,644000,664000,274000,41.3,-8,311,311,False,0,2025-05-22T00:00:00.000Z,2026-03-29T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10579,"Construction of common facility centre, Zone 3",Bihar,IN-BR,Darbhanga,Darbhanga (PC-8),Hon'ble MP — Darbhanga PC,Aadhar Works Agency,Community Infrastructure,1108000,1090000,771000,70.7,-43,241,241,False,0,2025-12-25T00:00:00.000Z,2026-08-23T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,11,LOW
W-10580,"Development of village playground, Block B",West Bengal,IN-WB,Kolkata,Kolkata (PC-7),Hon'ble MP — Kolkata PC,Aarambh Engineering Board,Sports,532000,595000,394000,66.2,-39,292,292,False,0,2025-04-24T00:00:00.000Z,2026-02-10T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,12,LOW
W-10581,"Construction of bus shelter and waiting shed, New Colony",Rajasthan,IN-RJ,Kota,Kota (PC-21),Hon'ble MP — Kota PC,Sujal Water Works Cell,Public Amenities,638000,628000,561000,89.3,-13,301,301,False,0,2025-07-27T00:00:00.000Z,2026-05-24T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,7,LOW
W-10582,"Construction of library block at higher secondary school, Phase II",Tamil Nadu,IN-TN,Coimbatore,Coimbatore (PC-23),Hon'ble MP — Coimbatore PC,Vikas Engineering Corp,Education,557000,591000,393000,66.5,-34,228,228,False,0,2025-04-18T00:00:00.000Z,2025-12-02T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,8,LOW
W-10583,"Construction of overhead water tank, Zone 3",Chhattisgarh,IN-CT,Korba,Korba (PC-31),Hon'ble MP — Korba PC,Samruddhi Infra Board,Water & Sanitation,1561000,1607000,1474000,91.7,-3,310,310,False,0,2025-09-08T00:00:00.000Z,2026-07-15T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,15,LOW
W-10584,"Construction of public toilet block, Sector 7",Chhattisgarh,IN-CT,Durg,Durg (PC-9),Hon'ble MP — Durg PC,Aarambh Engineering Board,Public Amenities,618000,655000,492000,75.1,-9,291,321,True,30,2025-06-27T00:00:00.000Z,2026-04-14T00:00:00.000Z,,Delayed,False,Project delay,Project delay,35,MEDIUM
W-10585,"Construction of additional classrooms at Govt. School, Block B",Rajasthan,IN-RJ,Jaipur,Jaipur (PC-2),Hon'ble MP — Jaipur PC,Prerna Civil Works Unit,Education,778000,811000,330000,40.7,-9,227,227,False,0,2026-01-11T00:00:00.000Z,2026-08-26T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,23,LOW
W-10586,"Construction of crematorium shed and pathway, Phase II",West Bengal,IN-WB,Bardhaman,Bardhaman (PC-12),Hon'ble MP — Bardhaman PC,Aarambh Engineering Board,Other,1006000,1183000,1552000,131.2,85,241,364,True,123,2025-09-23T00:00:00.000Z,2026-05-22T00:00:00.000Z,,Stalled,False,Cost anomaly; Expenditure anomaly; Project delay; Agency concentration; Progress mismatch; Unusual payment pattern,Cost anomaly,82,CRITICAL
W-10587,"Development of maternal care wing at CHC, Zone 3",Tamil Nadu,IN-TN,Madurai,Madurai (PC-10),Hon'ble MP — Madurai PC,Sahyog Development Trust,Health,1348000,1345000,1097000,81.6,-7,343,343,False,0,2025-08-27T00:00:00.000Z,2026-08-05T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,32,MEDIUM
W-10588,"Development of public park and pathways, Zone 3",Haryana,IN-HR,Gurugram,Gurugram (PC-36),Hon'ble MP — Gurugram PC,Pragati Construction Cell,Public Amenities,564000,650000,274000,42.2,-10,271,271,False,0,2025-10-02T00:00:00.000Z,2026-06-30T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,20,LOW
W-10589,"Installation of public address and CCTV system, Ward 11",Maharashtra,IN-MH,Pune,Pune (PC-24),Hon'ble MP — Pune PC,Nirman Urban Works Agency,Other,426000,512000,244000,47.7,-20,218,218,False,0,2025-08-06T00:00:00.000Z,2026-03-12T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,25,LOW
W-10590,"Construction of anganwadi and community shelter, Ward 4",Karnataka,IN-KA,Kalaburagi,Kalaburagi (PC-33),Hon'ble MP — Kalaburagi PC,Sujal Water Works Cell,Community Infrastructure,1357000,1348000,560000,41.5,-29,333,333,False,0,2025-05-11T00:00:00.000Z,2026-04-09T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,23,LOW
W-10591,"Construction of community hall / bhavan, Gram Panchayat",Bihar,IN-BR,Gaya,Gaya (PC-33),Hon'ble MP — Gaya PC,Samruddhi Infra Board,Community Infrastructure,1733000,1759000,1663000,94.5,-7,321,321,False,0,2025-04-01T00:00:00.000Z,2026-02-16T00:00:00.000Z,2026-02-16T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,14,LOW
W-10592,"Development of village playground, Block B",West Bengal,IN-WB,Murshidabad,Murshidabad (PC-3),Hon'ble MP — Murshidabad PC,Meridian Infra Works,Sports,978000,1099000,642000,58.4,12,249,249,False,0,2025-07-07T00:00:00.000Z,2026-03-13T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,42,MEDIUM
W-10593,"Laying of piped water supply network, Block B",Karnataka,IN-KA,Belagavi,Belagavi (PC-27),Hon'ble MP — Belagavi PC,Gramin Vikas Nigam,Water & Sanitation,1359000,1372000,1047000,76.3,-17,323,323,False,0,2025-12-31T00:00:00.000Z,2026-11-19T00:00:00.000Z,,In Progress,True,Potential duplicate work; Compliance deviation,Potential duplicate work,57,MEDIUM
W-10594,"Construction of CC road with side drains, Block B",Karnataka,IN-KA,Mysuru,Mysuru (PC-15),Hon'ble MP — Mysuru PC,Meridian Infra Works,Road Construction,1637000,1800000,1157000,64.3,-18,358,358,False,0,2025-11-11T00:00:00.000Z,2026-11-04T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,13,LOW
W-10595,"Widening and strengthening of internal roads, Zone 3",Tamil Nadu,IN-TN,Coimbatore,Coimbatore (PC-11),Hon'ble MP — Coimbatore PC,Meridian Infra Works,Road Construction,1468000,1592000,935000,58.7,-28,260,260,False,0,2025-04-27T00:00:00.000Z,2026-01-12T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,18,LOW
W-10596,"Blacktopping of village approach road, New Colony",Gujarat,IN-GJ,Ahmedabad,Ahmedabad (PC-32),Hon'ble MP — Ahmedabad PC,Disha Municipal Works,Road Construction,2249000,2592000,2016000,77.8,18,211,263,True,52,2025-07-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,,Delayed,False,Project delay,Project delay,41,MEDIUM
W-10597,"Provision of mobility van for local body, Zone 3",Gujarat,IN-GJ,Vadodara,Vadodara (PC-8),Hon'ble MP — Vadodara PC,Prerna Civil Works Unit,Other,462000,515000,442000,85.8,-20,235,235,False,0,2025-09-23T00:00:00.000Z,2026-05-16T00:00:00.000Z,,In Progress,False,Missing/invalid data,Missing/invalid data,7,LOW
W-10598,"Installation of solar street lighting, New Colony",Gujarat,IN-GJ,Vadodara,Vadodara (PC-33),Hon'ble MP — Vadodara PC,Sankalp Rural Development Corp,Public Amenities,548000,581000,462000,79.5,-19,354,354,False,0,2025-10-16T00:00:00.000Z,2026-10-05T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,19,LOW
W-10599,"Construction of library block at higher secondary school, Block B",Maharashtra,IN-MH,Thane,Thane (PC-38),Hon'ble MP — Thane PC,Chetna Public Amenities Unit,Education,749000,897000,803000,89.5,1,224,224,False,0,2025-08-09T00:00:00.000Z,2026-03-21T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,20,LOW
W-10600,"Construction of additional classrooms at Govt. School, Ward 4",Punjab,IN-PB,Jalandhar,Jalandhar (PC-21),Hon'ble MP — Jalandhar PC,Arth Development Board,Education,818000,888000,511000,57.5,0,252,252,False,0,2025-10-16T00:00:00.000Z,2026-06-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,27,LOW
W-10601,"Construction of overhead water tank, Ward 4",Punjab,IN-PB,Amritsar,Amritsar (PC-32),Hon'ble MP — Amritsar PC,Meridian Infra Works,Water & Sanitation,885000,1031000,587000,56.9,-38,249,249,False,0,2025-12-24T00:00:00.000Z,2026-08-30T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,21,LOW
W-10602,"Laying of piped water supply network, Ward 11",Rajasthan,IN-RJ,Bikaner,Bikaner (PC-10),Hon'ble MP — Bikaner PC,Setu Public Works Division,Water & Sanitation,1506000,1655000,946000,57.2,0,354,354,False,0,2025-04-22T00:00:00.000Z,2026-04-11T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,11,LOW
W-10603,"Construction of common facility centre, Ward 11",Karnataka,IN-KA,Bengaluru Urban,Bengaluru Urban (PC-5),Hon'ble MP — Bengaluru Urban PC,Arth Development Board,Community Infrastructure,1814000,1838000,1784000,97.1,-3,220,220,False,0,2025-08-19T00:00:00.000Z,2026-03-27T00:00:00.000Z,2026-03-27T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,30,MEDIUM
W-10604,"Construction of anganwadi and community shelter, Sector 7",West Bengal,IN-WB,Murshidabad,Murshidabad (PC-29),Hon'ble MP — Murshidabad PC,Aarambh Engineering Board,Community Infrastructure,2221000,2346000,2050000,87.4,23,231,332,True,101,2025-06-26T00:00:00.000Z,2026-02-12T00:00:00.000Z,,Stalled,False,Project delay; Agency concentration,Project delay,78,HIGH
W-10605,"Construction of additional classrooms at Govt. School, Zone 3",Uttar Pradesh,IN-UP,Meerut,Meerut (PC-37),Hon'ble MP — Meerut PC,Aarambh Engineering Board,Education,785000,800000,606000,75.8,-10,232,232,False,0,2025-10-24T00:00:00.000Z,2026-06-13T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,6,LOW
W-10606,"Installation of public address and CCTV system, Sector 7",Telangana,IN-TG,Warangal,Warangal (PC-21),Hon'ble MP — Warangal PC,Nabh Infra Consortium,Other,473000,474000,225000,47.5,-26,347,347,False,0,2025-05-15T00:00:00.000Z,2026-04-27T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10607,"Installation of public address and CCTV system, Sector 7",Telangana,IN-TG,Karimnagar,Karimnagar (PC-35),Hon'ble MP — Karimnagar PC,Unnati Infra Solutions,Other,548000,546000,399000,73.1,-15,214,287,True,73,2026-01-12T00:00:00.000Z,2026-08-14T00:00:00.000Z,,Stalled,False,Project delay,Project delay,35,MEDIUM
W-10608,"Laying of piped water supply network, Gram Panchayat",Andhra Pradesh,IN-AP,Tirupati,Tirupati (PC-33),Hon'ble MP — Tirupati PC,Meridian Infra Works,Water & Sanitation,1547000,1654000,1231000,74.4,0,267,267,False,0,2025-09-12T00:00:00.000Z,2026-06-06T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,25,LOW
W-10609,"Widening and strengthening of internal roads, Ward 11",Andhra Pradesh,IN-AP,Tirupati,Tirupati (PC-4),Hon'ble MP — Tirupati PC,Chetna Public Amenities Unit,Road Construction,1183000,1249000,799000,64,-43,318,318,False,0,2025-05-11T00:00:00.000Z,2026-03-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,20,LOW
W-10610,"Miscellaneous local area development works, Phase II",Maharashtra,IN-MH,Aurangabad,Aurangabad (PC-1),Hon'ble MP — Aurangabad PC,Unnati Infra Solutions,Other,782000,901000,1411000,156.6,41,272,414,True,142,2025-04-27T00:00:00.000Z,2026-01-24T00:00:00.000Z,,Delayed,False,Cost anomaly; Expenditure anomaly; Project delay; Progress mismatch; Unusual payment pattern,Cost anomaly,95,CRITICAL
W-10611,"Construction of additional classrooms at Govt. School, Sector 7",Odisha,IN-OR,Cuttack,Cuttack (PC-32),Hon'ble MP — Cuttack PC,Vikas Engineering Corp,Education,875000,894000,501000,56,0,287,287,False,0,2025-08-06T00:00:00.000Z,2026-05-20T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,18,LOW
W-10612,"Construction of CC road with side drains, Ward 11",Gujarat,IN-GJ,Vadodara,Vadodara (PC-14),Hon'ble MP — Vadodara PC,Sankalp Rural Development Corp,Road Construction,1136000,1376000,1239000,90,-37,268,268,False,0,2025-07-01T00:00:00.000Z,2026-03-26T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,14,LOW
W-10613,"Installation of solar street lighting, Zone 3",Bihar,IN-BR,Patna,Patna (PC-38),Hon'ble MP — Patna PC,Aarambh Engineering Board,Public Amenities,589000,667000,434000,65.1,-7,225,225,False,0,2025-04-07T00:00:00.000Z,2025-11-18T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,26,LOW
W-10614,"Drainage and sanitation improvement works, Ward 11",Punjab,IN-PB,Jalandhar,Jalandhar (PC-38),Hon'ble MP — Jalandhar PC,Samruddhi Infra Board,Water & Sanitation,1146000,1300000,923000,71,-21,259,259,False,0,2025-08-05T00:00:00.000Z,2026-04-21T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10615,"Development of multipurpose sports ground, Ward 11",Punjab,IN-PB,Amritsar,Amritsar (PC-22),Hon'ble MP — Amritsar PC,Samruddhi Infra Board,Sports,1091000,1117000,1046000,93.6,14,216,216,False,0,2025-05-31T00:00:00.000Z,2026-01-02T00:00:00.000Z,2026-01-02T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,43,MEDIUM
W-10616,"Development of village playground, New Colony",Telangana,IN-TG,Warangal,Warangal (PC-25),Hon'ble MP — Warangal PC,Gramin Vikas Nigam,Sports,599000,667000,451000,67.6,-32,343,343,False,0,2025-05-28T00:00:00.000Z,2026-05-06T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,29,LOW
W-10617,"Installation of community RO water plant, New Colony",Uttar Pradesh,IN-UP,Lucknow,Lucknow (PC-24),Hon'ble MP — Lucknow PC,Nirman Urban Works Agency,Water & Sanitation,1323000,1333000,904000,67.8,-19,246,246,False,0,2025-04-02T00:00:00.000Z,2025-12-04T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,30,MEDIUM
W-10618,"Construction of open gym and sports facility, Phase II",Rajasthan,IN-RJ,Bikaner,Bikaner (PC-16),Hon'ble MP — Bikaner PC,Disha Municipal Works,Sports,794000,799000,579000,72.5,-18,243,243,False,0,2025-06-30T00:00:00.000Z,2026-02-28T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,10,LOW
W-10619,"Construction of CC road with side drains, Ward 4",Karnataka,IN-KA,Bengaluru Urban,Bengaluru Urban (PC-39),Hon'ble MP — Bengaluru Urban PC,Sankalp Rural Development Corp,Road Construction,1820000,2140000,1849000,86.4,-3,213,213,False,0,2025-09-10T00:00:00.000Z,2026-04-11T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,32,MEDIUM
W-10620,"Construction of ambulance shed and waiting hall, Phase II",West Bengal,IN-WB,Bardhaman,Bardhaman (PC-9),Hon'ble MP — Bardhaman PC,Nabh Infra Consortium,Health,1108000,1161000,465000,40.1,-20,309,309,False,0,2025-04-15T00:00:00.000Z,2026-02-18T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,22,LOW
W-10621,"Installation of community RO water plant, Gram Panchayat",Bihar,IN-BR,Muzaffarpur,Muzaffarpur (PC-33),Hon'ble MP — Muzaffarpur PC,Disha Municipal Works,Water & Sanitation,1470000,1622000,1124000,69.3,-2,315,315,False,0,2025-07-11T00:00:00.000Z,2026-05-22T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,23,LOW
W-10622,"Construction of open gym and sports facility, Sector 7",Gujarat,IN-GJ,Bhavnagar,Bhavnagar (PC-6),Hon'ble MP — Bhavnagar PC,Setu Public Works Division,Sports,999000,1003000,641000,63.9,2,250,250,False,0,2025-10-07T00:00:00.000Z,2026-06-14T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,27,LOW
W-10623,"Construction of anganwadi and community shelter, Ward 11",Jharkhand,IN-JH,Dhanbad,Dhanbad (PC-33),Hon'ble MP — Dhanbad PC,Meridian Infra Works,Community Infrastructure,2016000,2271000,2491000,109.7,20,360,442,True,82,2025-05-27T00:00:00.000Z,2026-05-22T00:00:00.000Z,,Delayed,True,Project delay; Potential duplicate work; Agency concentration; Progress mismatch,Potential duplicate work,64,HIGH
W-10624,"Construction of additional classrooms at Govt. School, New Colony",Assam,IN-AS,Jorhat,Jorhat (PC-18),Hon'ble MP — Jorhat PC,Sahyog Development Trust,Education,737000,806000,626000,77.7,-9,213,213,False,0,2025-05-20T00:00:00.000Z,2025-12-19T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,23,LOW
W-10625,"Construction of bus shelter and waiting shed, Sector 7",Punjab,IN-PB,Patiala,Patiala (PC-24),Hon'ble MP — Patiala PC,Nabh Infra Consortium,Public Amenities,421000,483000,287000,59.4,-33,259,259,False,0,2025-06-03T00:00:00.000Z,2026-02-17T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,8,LOW
W-10626,"Construction of common facility centre, Zone 3",Uttar Pradesh,IN-UP,Varanasi,Varanasi (PC-23),Hon'ble MP — Varanasi PC,Aadhar Works Agency,Community Infrastructure,1231000,1276000,726000,56.9,-33,290,290,False,0,2025-06-08T00:00:00.000Z,2026-03-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,7,LOW
W-10627,"Construction of CC road with side drains, Gram Panchayat",Gujarat,IN-GJ,Surat,Surat (PC-13),Hon'ble MP — Surat PC,Utkarsh Rural Agency,Road Construction,1913000,1921000,903000,47,-13,258,258,False,0,2025-04-29T00:00:00.000Z,2026-01-12T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,21,LOW
W-10628,"Installation of public address and CCTV system, Gram Panchayat",Maharashtra,IN-MH,Nashik,Nashik (PC-23),Hon'ble MP — Nashik PC,Pragati Construction Cell,Other,449000,482000,203000,42.1,-25,348,348,False,0,2025-05-23T00:00:00.000Z,2026-05-06T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10629,"Construction of overhead water tank, Zone 3",Rajasthan,IN-RJ,Bikaner,Bikaner (PC-37),Hon'ble MP — Bikaner PC,Sahyog Development Trust,Water & Sanitation,1158000,1236000,965000,78.1,-25,303,303,False,0,2025-09-06T00:00:00.000Z,2026-07-06T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,15,LOW
W-10630,"Drainage and sanitation improvement works, Ward 4",Odisha,IN-OR,Rourkela,Rourkela (PC-22),Hon'ble MP — Rourkela PC,Unnati Infra Solutions,Water & Sanitation,1132000,1173000,594000,50.6,-29,307,307,False,0,2026-01-16T00:00:00.000Z,2026-11-19T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,7,LOW
W-10631,"Laying of piped water supply network, Zone 3",West Bengal,IN-WB,Howrah,Howrah (PC-24),Hon'ble MP — Howrah PC,Setu Public Works Division,Water & Sanitation,882000,1070000,688000,64.3,-35,279,279,False,0,2025-04-07T00:00:00.000Z,2026-01-11T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,27,LOW
W-10632,"Construction of open gym and sports facility, New Colony",Chhattisgarh,IN-CT,Raipur,Raipur (PC-29),Hon'ble MP — Raipur PC,Gramin Vikas Nigam,Sports,1485000,1518000,2504000,165,55,268,382,True,114,2025-08-24T00:00:00.000Z,2026-05-19T00:00:00.000Z,,Delayed,True,Cost anomaly; Expenditure anomaly; Project delay; Potential duplicate work; Progress mismatch; Compliance deviation,Cost anomaly,97,CRITICAL
W-10633,"Development of multipurpose community centre, Zone 3",Jharkhand,IN-JH,Ranchi,Ranchi (PC-4),Hon'ble MP — Ranchi PC,Prerna Civil Works Unit,Community Infrastructure,1034000,1077000,579000,53.8,-43,227,227,False,0,2025-07-27T00:00:00.000Z,2026-03-11T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,29,LOW
W-10634,"Blacktopping of village approach road, Gram Panchayat",Chhattisgarh,IN-CT,Raipur,Raipur (PC-20),Hon'ble MP — Raipur PC,Unnati Infra Solutions,Road Construction,1871000,1886000,1019000,54,-14,285,285,False,0,2025-11-05T00:00:00.000Z,2026-08-17T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,18,LOW
W-10635,"Construction of CC road with side drains, Sector 7",Uttar Pradesh,IN-UP,Varanasi,Varanasi (PC-18),Hon'ble MP — Varanasi PC,Sahyog Development Trust,Road Construction,1342000,1423000,1234000,86.7,-35,221,221,False,0,2026-01-23T00:00:00.000Z,2026-09-01T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,26,LOW
W-10636,"Provision of mobility van for local body, New Colony",West Bengal,IN-WB,Murshidabad,Murshidabad (PC-29),Hon'ble MP — Murshidabad PC,Nirman Urban Works Agency,Other,332000,400000,264000,66,-37,299,299,False,0,2025-09-03T00:00:00.000Z,2026-06-29T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,20,LOW
